# {
#   "comment": "this is a simulation test.",
#   "param": [3, 4, 5],
#   "components": [
#     {
#       "family": ["exponential"],
#       "param": [3]
#     },
#     {
#       "family": ["exponential"],
#       "param": [4]
#     },
#     {
#       "family": ["exponential"],
#       "param": [5]
#     }
#   ],
#   "candidate_conditions": ["C1","C2","C3"],
#   "latent": ["k", "t1", "t2", "t3"],
#   "observable": ["t","x1","x2","x3"],
#   "num_comp": [3],
#   "sample_size": [1000]
# }
t,k,t1,t2,t3,x1,x2,x3
0.144152567721903,2,0.281152420352801,0.144152567721903,0.265810973561349,TRUE,TRUE,FALSE
0.0105257863694373,1,0.0105257863694373,0.0140527440235019,0.063300243275542,TRUE,FALSE,TRUE
0.0363167009782046,2,0.104742430738432,0.0363167009782046,0.545247292865939,TRUE,TRUE,FALSE
0.00971781569419085,1,0.00971781569419085,0.251207514422688,0.0960429455319547,TRUE,FALSE,TRUE
0.0376568081788719,3,0.093671209178865,0.0942794577667834,0.0376568081788719,TRUE,FALSE,TRUE
0.095752083267311,3,0.283262043246035,0.390800884903824,0.095752083267311,FALSE,TRUE,TRUE
0.168629946226755,3,0.196978278458118,1.01025292784312,0.168629946226755,FALSE,TRUE,TRUE
0.269608897148612,3,0.321957070366446,0.371318948504518,0.269608897148612,FALSE,TRUE,TRUE
0.299348573742395,3,0.389509661419594,0.401463085764504,0.299348573742395,TRUE,FALSE,TRUE
0.00794193599036899,2,0.523550848965075,0.00794193599036899,0.119569938257337,FALSE,TRUE,TRUE
0.0519115634660145,3,0.722613248492718,0.126653932151385,0.0519115634660145,TRUE,FALSE,TRUE
0.158136351770701,3,0.865630705488436,0.307256432938132,0.158136351770701,FALSE,TRUE,TRUE
0.117736928444356,3,0.209760025919725,0.31366025073696,0.117736928444356,TRUE,FALSE,TRUE
0.105091200675815,2,0.376430011283041,0.105091200675815,1.44220151520314,TRUE,TRUE,FALSE
0.0563855016371235,2,0.281907321732512,0.0563855016371235,0.220067763506415,FALSE,TRUE,TRUE
0.115278333611786,3,0.749435230775005,0.340933574818748,0.115278333611786,FALSE,TRUE,TRUE
0.0181182700239296,3,0.908425283265821,0.32804076065038,0.0181182700239296,FALSE,TRUE,TRUE
0.0627032511867583,3,0.102067950026443,0.266803267401385,0.0627032511867583,FALSE,TRUE,TRUE
0.112917720526457,3,0.324880050170823,0.47195582881332,0.112917720526457,TRUE,FALSE,TRUE
0.204888268365505,3,0.858987109693599,0.261923936982826,0.204888268365505,FALSE,TRUE,TRUE
0.0711671151717257,2,0.342623205214379,0.0711671151717257,0.312610377727037,TRUE,TRUE,FALSE
0.0140294309905334,1,0.0140294309905334,0.0246577224508483,0.019713862426579,TRUE,TRUE,FALSE
0.07394673966337,2,0.0934617204335286,0.07394673966337,0.194485929786208,TRUE,TRUE,FALSE
0.308009074676438,1,0.308009074676438,0.410601131680531,0.323982553539758,TRUE,FALSE,TRUE
0.0760028406046331,3,0.845381846609426,0.38038740584389,0.0760028406046331,TRUE,FALSE,TRUE
0.00845429031178355,3,0.0795043222606182,0.116621855890602,0.00845429031178355,FALSE,TRUE,TRUE
0.106558966450393,1,0.106558966450393,0.160902730072849,0.114512620680034,TRUE,FALSE,TRUE
0.0720185008473596,1,0.0720185008473596,1.12466834944891,0.371418110636954,TRUE,FALSE,TRUE
0.22848621259133,1,0.22848621259133,0.359863156536185,0.346230796710364,TRUE,TRUE,FALSE
0.307478795706773,3,0.414927766644363,0.365825140010655,0.307478795706773,TRUE,FALSE,TRUE
0.00153304217383266,1,0.00153304217383266,0.277191366989839,0.059994063526392,TRUE,TRUE,FALSE
0.0134751781821251,3,0.39733433566829,0.278732175928283,0.0134751781821251,FALSE,TRUE,TRUE
0.0519892213866115,3,0.160222906929751,0.392613584755435,0.0519892213866115,FALSE,TRUE,TRUE
0.0472071493044496,3,0.618974095803309,0.11580490519259,0.0472071493044496,TRUE,FALSE,TRUE
0.0149178429273888,2,0.394033140488867,0.0149178429273888,0.0806476882906,FALSE,TRUE,TRUE
0.104145161109045,2,0.31431328007172,0.104145161109045,0.15064368098134,FALSE,TRUE,TRUE
0.0380075641393609,3,0.0628954626930257,0.21921346778228,0.0380075641393609,TRUE,FALSE,TRUE
0.0808439568138812,2,0.32635940206389,0.0808439568138812,0.264095510720255,FALSE,TRUE,TRUE
0.0291468232870102,3,0.106153549471249,0.401266823967403,0.0291468232870102,FALSE,TRUE,TRUE
0.00751486362423748,2,0.601043106188394,0.00751486362423748,0.260688109873774,FALSE,TRUE,TRUE
0.0665974149130471,1,0.0665974149130471,0.437864060492671,0.352733666432982,TRUE,FALSE,TRUE
0.0871881940402091,2,0.281014526088067,0.0871881940402091,0.659564959969292,TRUE,TRUE,FALSE
0.133902058315774,1,0.133902058315774,0.275175433595407,0.265784634455087,TRUE,FALSE,TRUE
0.0489584288603708,2,0.213967549304167,0.0489584288603708,0.09135777130723,TRUE,TRUE,FALSE
0.124250054669877,1,0.124250054669877,0.865898722740722,0.254805543824079,TRUE,FALSE,TRUE
0.0168321468867362,3,0.360495050227337,0.0742397902209615,0.0168321468867362,TRUE,FALSE,TRUE
0.132771025132388,3,0.984466972413009,0.492063063641495,0.132771025132388,TRUE,FALSE,TRUE
0.0187304626218975,3,0.536464047900645,0.151709271012805,0.0187304626218975,TRUE,FALSE,TRUE
0.0532221439294517,3,0.108211761340499,0.439970578046,0.0532221439294517,TRUE,FALSE,TRUE
0.112277173204348,2,0.313542055883412,0.112277173204348,0.257781295842471,TRUE,TRUE,FALSE
